filename,time_mins,period,length_mm,rms_mm,range_mm,tape_reader,drop_id,genus,species,pisco_code,number,stage,activity,date,rig,usefulness,island,general_area,mpa_status,reserve_name,lat,long,time_in,depth,habitat,rugosity,relief,site,island_mpa,org_type,common_name,species_name,kingdom,phylum,class,order,family,common_group,trophic_group,broad_trophic_group,targeted,feeding_mode,structure_forming,turf_forming,substrate,lifestyle,taxonomic_id,taxonomic_source,wl_a,wl_b,wl_w_units,wl_l_units,wl_input_length,ll_equation_for_wl,lc_a_for_wl,lc_b_for_wl,lc_type_for_wl,recreational_legal_size_in_tl_2020,commercial_legal_size_in_tl_2020,thermal_composite_class,thermal_agreement,water_column_position,mobility,substrate_association,fish_length_converted,fish_weight_g,fish_weight_lbs,fish_weight_kg
ANA_070_LEFT_SEG1.MP4,4.6869,1,289.918,36.288,3186.373,JZ JE,ANA_070,Semicossyphus,pulcher,SPUL,1,F,Passing,2020-05-29T00:00:00Z,3,1,Anacapa,Back Side,REF,ANA_REF,33.994203,-119.402441,1899-12-31T11:33:00Z,50.1,mixed_soft,low,low,Anacapa,Anacapa REF,fish,California Sheephead,Semicossyphus pulcher,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Wrasses,benthic macro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,240737,WoRMS,8.45e-5,2.8047,g,mm,SL,SL=0.80TL+0.323,0.8,0.323,TYPICAL,12,13,Warm,High,benthopelagic (near the bottom),mobile (10-100m),rock,232.2574,365.34,0.8054,0.36534
ANA_071_LEFT_SEG2.MP4,21.1862,1,316.73,20.696,2119.36,JZ,ANA_071,Semicossyphus,pulcher,SPUL,1,F,Passing,2020-05-29T00:00:00Z,3,2,Anacapa,Back Side,REF,ANA_REF,33.994828,-119.416688,1899-12-31T12:32:00Z,46.2,mixed_hard,high,medium,Anacapa,Anacapa REF,fish,California Sheephead,Semicossyphus pulcher,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Wrasses,benthic macro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,240737,WoRMS,8.45e-5,2.8047,g,mm,SL,SL=0.80TL+0.323,0.8,0.323,TYPICAL,12,13,Warm,High,benthopelagic (near the bottom),mobile (10-100m),rock,253.707,468.05,1.0319,0.46805
ANA_071_LEFT_SEG2.MP4,21.244,1,367.655,15.737,1460.618,JZ,ANA_071,Semicossyphus,pulcher,SPUL,1,F,Passing,2020-05-29T00:00:00Z,3,2,Anacapa,Back Side,REF,ANA_REF,33.994828,-119.416688,1899-12-31T12:32:00Z,46.2,mixed_hard,high,medium,Anacapa,Anacapa REF,fish,California Sheephead,Semicossyphus pulcher,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Wrasses,benthic macro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,240737,WoRMS,8.45e-5,2.8047,g,mm,SL,SL=0.80TL+0.323,0.8,0.323,TYPICAL,12,13,Warm,High,benthopelagic (near the bottom),mobile (10-100m),rock,294.44699999999995,710.69,1.5668,0.71069
ANA_071_LEFT_SEG2.MP4,21.3057,1,278.888,22.974,1975.229,JZ,ANA_071,Semicossyphus,pulcher,SPUL,1,F,Passing,2020-05-29T00:00:00Z,3,2,Anacapa,Back Side,REF,ANA_REF,33.994828,-119.416688,1899-12-31T12:32:00Z,46.2,mixed_hard,high,medium,Anacapa,Anacapa REF,fish,California Sheephead,Semicossyphus pulcher,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Wrasses,benthic macro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,240737,WoRMS,8.45e-5,2.8047,g,mm,SL,SL=0.80TL+0.323,0.8,0.323,TYPICAL,12,13,Warm,High,benthopelagic (near the bottom),mobile (10-100m),rock,223.4334,327.73,0.7225,0.32773
ANA_071_LEFT_SEG2.MP4,21.4186,1,338.167,29.956,2494.54,JZ,ANA_071,Semicossyphus,pulcher,SPUL,1,F,Passing,2020-05-29T00:00:00Z,3,2,Anacapa,Back Side,REF,ANA_REF,33.994828,-119.416688,1899-12-31T12:32:00Z,46.2,mixed_hard,high,medium,Anacapa,Anacapa REF,fish,California Sheephead,Semicossyphus pulcher,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Wrasses,benthic macro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,240737,WoRMS,8.45e-5,2.8047,g,mm,SL,SL=0.80TL+0.323,0.8,0.323,TYPICAL,12,13,Warm,High,benthopelagic (near the bottom),mobile (10-100m),rock,270.85659999999996,562.29,1.2396,0.56229
ANA_071_LEFT_SEG2.MP4,24.5618,1,392.14,39.918,3076.908,JZ,ANA_071,Semicossyphus,pulcher,SPUL,1,F,Passing,2020-05-29T00:00:00Z,3,2,Anacapa,Back Side,REF,ANA_REF,33.994828,-119.416688,1899-12-31T12:32:00Z,46.2,mixed_hard,high,medium,Anacapa,Anacapa REF,fish,California Sheephead,Semicossyphus pulcher,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Wrasses,benthic macro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,240737,WoRMS,8.45e-5,2.8047,g,mm,SL,SL=0.80TL+0.323,0.8,0.323,TYPICAL,12,13,Warm,High,benthopelagic (near the bottom),mobile (10-100m),rock,314.03499999999997,851.39,1.877,0.85139
ANA_072_LEFT_SEG2.MP4,18.2304,1,281.502,1.727,1281.109,JZ JE,ANA_072,Semicossyphus,pulcher,SPUL,1,AD,Passing,2020-05-29T00:00:00Z,11,1,Anacapa,Back Side,REF,ANA_REF,33.999704,-119.422987,1899-12-31T12:42:00Z,33.2,soft,low,low,Anacapa,Anacapa REF,fish,California Sheephead,Semicossyphus pulcher,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Wrasses,benthic macro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,240737,WoRMS,8.45e-5,2.8047,g,mm,SL,SL=0.80TL+0.323,0.8,0.323,TYPICAL,12,13,Warm,High,benthopelagic (near the bottom),mobile (10-100m),rock,225.5246,336.4,0.7416,0.3364
ANA_073_LEFT_SEG2.MP4,18.2493,1,383.622,7.522,1893.216,JZ JE,ANA_073,Semicossyphus,pulcher,SPUL,1,F,Passing,2020-05-29T00:00:00Z,1,2,Anacapa,Back Side,REF,ANA_REF,33.994338,-119.427324,1899-12-31T12:55:00Z,62.1,mixed_hard,high,medium,Anacapa,Anacapa REF,fish,California Sheephead,Semicossyphus pulcher,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Wrasses,benthic macro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,240737,WoRMS,8.45e-5,2.8047,g,mm,SL,SL=0.80TL+0.323,0.8,0.323,TYPICAL,12,13,Warm,High,benthopelagic (near the bottom),mobile (10-100m),rock,307.2206,800.59,1.765,0.80059
ANA_077_LEFT_SEG2.MP4,19.7864,1,594.19,24.271,3101.476,JZ JE,ANA_077,Semicossyphus,pulcher,SPUL,1,F,Passing,2020-05-30T00:00:00Z,1,1,Anacapa,Back Side,REF,ANA_REF,33.99413,-119.439058,1899-12-31T08:54:00Z,65.4,mixed_hard,medium,low,Anacapa,Anacapa REF,fish,California Sheephead,Semicossyphus pulcher,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Wrasses,benthic macro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,240737,WoRMS,8.45e-5,2.8047,g,mm,SL,SL=0.80TL+0.323,0.8,0.323,TYPICAL,12,13,Warm,High,benthopelagic (near the bottom),mobile (10-100m),rock,475.67500000000007,2728.41,6.0151,2.72841
ANA_081_LEFT_SEG1.MP4,6.4965,1,218.191,39.941,2507.77,JZ JE,ANA_081,Semicossyphus,pulcher,SPUL,1,F,Passing,2020-05-30T00:00:00Z,3,1,Anacapa,Back Side,REF,ANA_REF,34.017251,-119.343118,1899-12-31T10:35:00Z,48.8,mixed_hard,medium,low,Anacapa,Anacapa REF,fish,California Sheephead,Semicossyphus pulcher,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Wrasses,benthic macro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,240737,WoRMS,8.45e-5,2.8047,g,mm,SL,SL=0.80TL+0.323,0.8,0.323,TYPICAL,12,13,Warm,High,benthopelagic (near the bottom),mobile (10-100m),rock,174.87580000000003,164.83,0.3634,0.16483
