drop_id,pisco_code,biomass_kg
CAR_128,bm_SPUL,225
CAR_129,bm_SPUL,126
CAR_130,bm_SPUL,6
CAR_131,bm_SPUL,141
CAR_132,bm_SPUL,374
CAR_133,bm_SPUL,54
CAR_202,bm_SPUL,77
CAR_203,bm_SPUL,264
CAR_205,bm_SPUL,144
CAR_206,bm_SPUL,136
CAR_207,bm_SPUL,12
CAR_208,bm_SPUL,196
CAR_210,bm_SPUL,21
CAR_211,bm_SPUL,112
CAR_212,bm_SPUL,24
CAR_213,bm_SPUL,240
CAR_214,bm_SPUL,99
CAR_215,bm_SPUL,4
CAR_216,bm_SPUL,8
CAR_217,bm_SPUL,84
CAR_218,bm_SPUL,42
CAR_219,bm_SPUL,248
CAR_220,bm_SPUL,119
CAR_221,bm_SPUL,154
CAR_222,bm_SPUL,72
CAR_223,bm_SPUL,36
CAR_224,bm_SPUL,954
CAR_225,bm_SPUL,182
CAR_226,bm_SPUL,32
CAR_227,bm_SPUL,68
CAR_228,bm_SPUL,9
CAR_230,bm_SPUL,240
CAR_231,bm_SPUL,20
CAR_232,bm_SPUL,45
CAR_233,bm_SPUL,28
CAR_234,bm_SPUL,176
CAR_237,bm_SPUL,42
CAR_238,bm_SPUL,120
CAR_240,bm_SPUL,250
CAR_241,bm_SPUL,350
CAR_242,bm_SPUL,180
CAR_243,bm_SPUL,162
CAR_244,bm_SPUL,480
CAR_245,bm_SPUL,152
CAR_246,bm_SPUL,190
CAR_248,bm_SPUL,42
CAR_249,bm_SPUL,136
CAR_250,bm_SPUL,2
CAR_251,bm_SPUL,416
CAR_252,bm_SPUL,310
CAR_254,bm_SPUL,32
CAR_255,bm_SPUL,84
CAR_256,bm_SPUL,500
CAR_257,bm_SPUL,9
CAR_258,bm_SPUL,154
CAR_259,bm_SPUL,68
CAR_260,bm_SPUL,40
CAR_262,bm_SPUL,1298
CAR_263,bm_SPUL,77
CAR_264,bm_SPUL,6
CAR_265,bm_SPUL,320
CAR_266,bm_SPUL,152
CAR_267,bm_SPUL,420
CAR_269,bm_SPUL,35
CAR_271,bm_SPUL,684
CAR_272,bm_SPUL,189
CAR_273,bm_SPUL,275
CAR_274,bm_SPUL,286
CAR_275,bm_SPUL,12
CAR_276,bm_SPUL,152
