Filename,Frame,Time_(mins),Period,Period_time_(mins),OpCode,TapeReader,Depth,Comment,Date,Site,Camera_Type,Vis,Time_of_Drop,Heading,,,Family,Genus,Species,Species_Code,MaxN,Has_fed
ANA_010_RIGHT_SEG1.MP4,10203,5.674,1,1.2279,ANA_010,CJ,71.6,N/A,09_12_2019,ANACAPA_OUT,RIG_1,12:44,,,,,Makebelieve,Ophiodon,elongatus,OELO,1,No
ANA_010_RIGHT_SEG1.MP4,10462,5.818,1,1.3719,ANA_010,CJ,71.6,N/A,09_12_2019,ANACAPA_OUT,RIG_1,12:44,,,,,Makebelieve,Sebastes,hopkinsi,SHOP,1,No
ANA_010_RIGHT_SEG3.MP4,6491,39.0451,2,4.5985,ANA_010,CJ,71.6,N/A,09_12_2019,ANACAPA_OUT,RIG_1,12:44,,,,,Makebelieve,Sebastes,hopkinsi,SHOP,2,No
ANA_010_RIGHT_SEG2.MP4,13048,24.9738,1,20.5277,ANA_010,CJ,71.6,N/A,09_12_2019,ANACAPA_OUT,RIG_1,12:44,,,,,Makebelieve,Sebastes,rubrivinctus,SRUB,2,No
ANA_010_RIGHT_SEG2.MP4,12573,24.7097,1,20.2636,ANA_010,CJ,71.6,N/A,09_12_2019,ANACAPA_OUT,RIG_1,12:44,,,,,Makebelieve,Sebastes,serranoidesflavidus,OYT,1,No
ANA_010_RIGHT_SEG2.MP4,17843,27.6404,1,23.1943,ANA_010,CJ,71.6,N/A,09_12_2019,ANACAPA_OUT,RIG_1,12:44,,,,,Makebelieve,Sebastes,sp,,1,No
ANA_010_RIGHT_SEG1.MP4,19516,10.8531,1,6.407,ANA_010,CJ,71.6,N/A,09_12_2019,ANACAPA_OUT,RIG_1,12:44,,,,,Makebelieve,SebastesSebastomus,,,5,No
ANA_011_LEFT_SEG2.MP4,23255,30.6501,1,28.0185,ANA_011,JZ,31.7,,9/12/2020,Back Side,8,,,,,,Makebelieve,Citharichthys,sordidus,CSOR,10,No
ANA_011_LEFT_SEG1.MP4,12001,6.6739,1,4.0424,ANA_011,JZ,31.7,,9/12/2020,Back Side,8,,,,,,Makebelieve,Rhinogobiops,nicholsii,RNIC,1,No
ANA_012_LEFT_SEG1.MP4,4412,2.4536,1,0.5305,ANA_012,JZ,30.2,"Period 1 = before tilt up, Period 2 = after tilt up",10_04_2019,ANACAPA_OUT,RIG_1,9:20,,,,,Makebelieve,Chromis,,punctipinnis,26,No
ANA_012_LEFT_SEG3.MP4,1134,36.066,2,30.5372,ANA_012,JZ,30.2,"Period 1 = before tilt up, Period 2 = after tilt up",10_04_2019,ANACAPA_OUT,RIG_1,9:20,,,,,Makebelieve,Chromis,,punctipinnis,15,No
ANA_012_LEFT_SEG1.MP4,6243,3.4718,1,1.5488,ANA_012,JZ,30.2,"Period 1 = before tilt up, Period 2 = after tilt up",10_04_2019,ANACAPA_OUT,RIG_1,9:20,,,,,Makebelieve,Medialuna,californiensis,MCAL,1,No
ANA_012_LEFT_SEG1.MP4,6797,3.7799,1,1.8569,ANA_012,JZ,30.2,"Period 1 = before tilt up, Period 2 = after tilt up",10_04_2019,ANACAPA_OUT,RIG_1,9:20,,,,,Makebelieve,Sebastes,mystinus,SMYS,1,No
ANA_012_LEFT_SEG1.MP4,7577,4.2137,1,2.2906,ANA_012,JZ,30.2,"Period 1 = before tilt up, Period 2 = after tilt up",10_04_2019,ANACAPA_OUT,RIG_1,9:20,,,,,Makebelieve,Semicossyphus,pulcher,SPUL,2,No
ANA_013_LEFT_SEG2.MP4,15805,26.507,1,24.7859,ANA_013,CJ,54.4,,10/4/2019,Anacapa_Back_Side,Bar_3,,9:35,,,,Makebelieve,Caulolatilus,princeps,CPRI,24,No
ANA_013_LEFT_SEG1.MP4,18378,10.2202,1,8.499,ANA_013,CJ,54.4,,10/4/2019,Anacapa_Back_Side,Bar_3,,9:35,,,,Makebelieve,Citharichthys,sp,,8,No
ANA_013_LEFT_SEG1.MP4,25889,14.3972,1,12.676,ANA_013,CJ,54.4,,10/4/2019,Anacapa_Back_Side,Bar_3,,9:35,,,,Makebelieve,Oxylebius,pictus,OPIC,1,No
ANA_013_LEFT_SEG2.MP4,28120,33.3555,2,1.6339,ANA_013,CJ,54.4,,10/4/2019,Anacapa_Back_Side,Bar_3,,9:35,,,,Makebelieve,Rhinogobiops,nicholsii,RNIC,2,No
ANA_013_LEFT_SEG2.MP4,29698,34.2331,2,2.5114,ANA_013,CJ,54.4,,10/4/2019,Anacapa_Back_Side,Bar_3,,9:35,,,,Makebelieve,Sebastes,rosaceus,SROS,2,No
ANA_013_LEFT_SEG2.MP4,26284,32.3345,2,0.6128,ANA_013,CJ,54.4,,10/4/2019,Anacapa_Back_Side,Bar_3,,9:35,,,,Makebelieve,Sebastes,semicinctus,SSEM,1,No
ANA_013_LEFT_SEG1.MP4,12847,7.1444,1,5.4232,ANA_013,CJ,54.4,,10/4/2019,Anacapa_Back_Side,Bar_3,,9:35,,,,Makebelieve,Unidentifiable,small_school,UNID_SMSC,1,No
ANA_014_LEFT_SEG1.MP4,23492,13.0642,1,8.4874,ANA_014,JE,73.5,N/A,10_04_2019,ANACAPA_OUT,8,9:53,,,,,Makebelieve,Caulolatilus,princeps,CPRI,2,No
ANA_014_LEFT_SEG2.MP4,24726,31.4681,1,26.8913,ANA_014,JE,73.5,N/A,10_04_2019,ANACAPA_OUT,8,9:53,,,,,Makebelieve,Citharichthys,sordidus,CSOR,1,No
ANA_014_LEFT_SEG1.MP4,19410,10.7941,1,6.2173,ANA_014,JE,73.5,N/A,10_04_2019,ANACAPA_OUT,8,9:53,,,,,Makebelieve,Oxylebius,pictus,OPIC,1,No
ANA_014_LEFT_SEG1.MP4,10919,6.0722,1,1.4954,ANA_014,JE,73.5,N/A,10_04_2019,ANACAPA_OUT,8,9:53,,,,,Makebelieve,Rhinogobiops,nicholsii,RNIC,1,No
ANA_014_LEFT_SEG1.MP4,10780,5.9949,1,1.4181,ANA_014,JE,73.5,N/A,10_04_2019,ANACAPA_OUT,8,9:53,,,,,Makebelieve,Sebastes,caurinus,SCAU,1,No
ANA_014_LEFT_SEG1.MP4,8311,4.6218,1,0.045,ANA_014,JE,73.5,N/A,10_04_2019,ANACAPA_OUT,8,9:53,,,,,Makebelieve,Sebastes,hopkinsi,SHOP,3,No
ANA_014_LEFT_SEG1.MP4,15740,8.7532,1,4.1764,ANA_014,JE,73.5,N/A,10_04_2019,ANACAPA_OUT,8,9:53,,,,,Makebelieve,Sebastes,paucispinis,SPAU,13,No
ANA_014_LEFT_SEG1.MP4,18783,10.4454,1,5.8686,ANA_014,JE,73.5,N/A,10_04_2019,ANACAPA_OUT,8,9:53,,,,,Makebelieve,Sebastes,rosaceus,SROS,4,No
ANA_015_LEFT_SEG2.MP4,20940,29.3627,1,26.7128,ANA_015,JE,47.5,N/A,10_04_2019,ANACAPA_OUT,1,10:16,,,,,Makebelieve,Caulolatilus,princeps,CPRI,14,No
ANA_015_LEFT_SEG1.MP4,10568,5.877,1,3.2271,ANA_015,JE,47.5,N/A,10_04_2019,ANACAPA_OUT,1,10:16,,,,,Makebelieve,Rhinogobiops,nicholsii,RNIC,4,No
ANA_015_LEFT_SEG3.MP4,19389,46.2178,2,13.5647,ANA_015,JE,47.5,N/A,10_04_2019,ANACAPA_OUT,1,10:16,,,,,Makebelieve,Semicossyphus,pulcher,SPUL,1,No
ANA_016_LEFT_SEG1.MP4,6652,3.6993,1,2.1154,ANA_016,JZ,45.1,N/A,10_04_2019,ANACAPA_OUT,RIG_8,11:26,,,,,Makebelieve,Caulolatilus,princeps,CPRI,18,No
