filename,time_mins,period,length_mm,rms_mm,range_mm,tape_reader,drop_id,genus,species,pisco_code,number,stage,activity,date,rig,usefulness,island,general_area,mpa_status,reserve_name,lat,long,time_in,depth,habitat,rugosity,relief,site,island_mpa,org_type,common_name,species_name,kingdom,phylum,class,order,family,common_group,trophic_group,broad_trophic_group,targeted,feeding_mode,structure_forming,turf_forming,substrate,lifestyle,taxonomic_id,taxonomic_source,wl_a,wl_b,wl_w_units,wl_l_units,wl_input_length,ll_equation_for_wl,lc_a_for_wl,lc_b_for_wl,lc_type_for_wl,recreational_legal_size_in_tl_2020,commercial_legal_size_in_tl_2020,thermal_composite_class,thermal_agreement,water_column_position,mobility,substrate_association,fish_length_converted,fish_weight_g,fish_weight_lbs,fish_weight_kg
ANA_002_LEFT_SEG1.MP4,8.5374,1,238.776,32.788,2721.201,CJ,ANA_002,Chromis,punctipinnis,CPUN,1,AD,Passing,2019-08-30T00:00:00Z,1,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.01966,-119.37472,1899-12-31T09:47:00Z,30.3,soft,low,low,Anacapa,Anacapa MPA,fish,Blacksmith,Chromis punctipinnis,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Damselfish,planktivore,planktivore,Non-targeted,NA,NODATA,NODATA,NA,NA,266995,WoRMS,2.69e-5,3.0177,g,mm,SL,TL=1.27SL,1.27,0,REVERSE,NA,NA,Warm,High,resident pelagic (upper water column),mobile (10-100m),rock,188.01259842519684,196.14,0.4324,0.19614
ANA_002_LEFT_SEG1.MP4,17.096,1,296.118,39.461,3091.976,CJ,ANA_002,Caulolatilus,princeps,CPRI,1,AD,Passing,2019-08-30T00:00:00Z,1,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.01966,-119.37472,1899-12-31T09:47:00Z,30.3,soft,low,low,Anacapa,Anacapa MPA,fish,Ocean Whitefish,Caulolatilus princeps,Animalia,Chordata,Actinopterygii,Perciformes,Malacanthidae,Tilefish,benthic micro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,278535,WoRMS,3.04e-6,3.22,g,mm,TL,NA,NA,NA,NA,NSL,NA,Warm,High,benthopelagic (near the bottom),mobile (>1000m),soft,296.118,276.05,0.6086,0.27605
ANA_002_LEFT_SEG1.MP4,17.2128,1,322.598,44.276,3641.214,CJ,ANA_002,Caulolatilus,princeps,CPRI,1,AD,Passing,2019-08-30T00:00:00Z,1,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.01966,-119.37472,1899-12-31T09:47:00Z,30.3,soft,low,low,Anacapa,Anacapa MPA,fish,Ocean Whitefish,Caulolatilus princeps,Animalia,Chordata,Actinopterygii,Perciformes,Malacanthidae,Tilefish,benthic micro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,278535,WoRMS,3.04e-6,3.22,g,mm,TL,NA,NA,NA,NA,NSL,NA,Warm,High,benthopelagic (near the bottom),mobile (>1000m),soft,322.598,363.72,0.8019,0.36372
ANA_002_LEFT_SEG1.MP4,17.2128,1,274.627,37.41,2902.589,CJ,ANA_002,Caulolatilus,princeps,CPRI,1,AD,Passing,2019-08-30T00:00:00Z,1,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.01966,-119.37472,1899-12-31T09:47:00Z,30.3,soft,low,low,Anacapa,Anacapa MPA,fish,Ocean Whitefish,Caulolatilus princeps,Animalia,Chordata,Actinopterygii,Perciformes,Malacanthidae,Tilefish,benthic micro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,278535,WoRMS,3.04e-6,3.22,g,mm,TL,NA,NA,NA,NA,NSL,NA,Warm,High,benthopelagic (near the bottom),mobile (>1000m),soft,274.627,216.58,0.4775,0.21658
ANA_002_LEFT_SEG1.MP4,17.2128,1,337.004,16.774,1535.645,CJ,ANA_002,Caulolatilus,princeps,CPRI,1,AD,Passing,2019-08-30T00:00:00Z,1,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.01966,-119.37472,1899-12-31T09:47:00Z,30.3,soft,low,low,Anacapa,Anacapa MPA,fish,Ocean Whitefish,Caulolatilus princeps,Animalia,Chordata,Actinopterygii,Perciformes,Malacanthidae,Tilefish,benthic micro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,278535,WoRMS,3.04e-6,3.22,g,mm,TL,NA,NA,NA,NA,NSL,NA,Warm,High,benthopelagic (near the bottom),mobile (>1000m),soft,337.004,418.66,0.923,0.41866
ANA_002_LEFT_SEG1.MP4,17.225,1,276.877,36.655,2953.161,CJ,ANA_002,Caulolatilus,princeps,CPRI,1,AD,Passing,2019-08-30T00:00:00Z,1,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.01966,-119.37472,1899-12-31T09:47:00Z,30.3,soft,low,low,Anacapa,Anacapa MPA,fish,Ocean Whitefish,Caulolatilus princeps,Animalia,Chordata,Actinopterygii,Perciformes,Malacanthidae,Tilefish,benthic micro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,278535,WoRMS,3.04e-6,3.22,g,mm,TL,NA,NA,NA,NA,NSL,NA,Warm,High,benthopelagic (near the bottom),mobile (>1000m),soft,276.877,222.35,0.4902,0.22235
ANA_002_LEFT_SEG1.MP4,17.225,1,327.429,42.09,3472.467,CJ,ANA_002,Caulolatilus,princeps,CPRI,1,AD,Passing,2019-08-30T00:00:00Z,1,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.01966,-119.37472,1899-12-31T09:47:00Z,30.3,soft,low,low,Anacapa,Anacapa MPA,fish,Ocean Whitefish,Caulolatilus princeps,Animalia,Chordata,Actinopterygii,Perciformes,Malacanthidae,Tilefish,benthic micro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,278535,WoRMS,3.04e-6,3.22,g,mm,TL,NA,NA,NA,NA,NSL,NA,Warm,High,benthopelagic (near the bottom),mobile (>1000m),soft,327.429,381.55,0.8412,0.38155
ANA_002_LEFT_SEG1.MP4,17.225,1,284.56,17.037,2320.45,CJ,ANA_002,Caulolatilus,princeps,CPRI,1,AD,Passing,2019-08-30T00:00:00Z,1,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.01966,-119.37472,1899-12-31T09:47:00Z,30.3,soft,low,low,Anacapa,Anacapa MPA,fish,Ocean Whitefish,Caulolatilus princeps,Animalia,Chordata,Actinopterygii,Perciformes,Malacanthidae,Tilefish,benthic micro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,278535,WoRMS,3.04e-6,3.22,g,mm,TL,NA,NA,NA,NA,NSL,NA,Warm,High,benthopelagic (near the bottom),mobile (>1000m),soft,284.56,242.84,0.5354,0.24284
ANA_002_LEFT_SEG1.MP4,17.225,1,267.948,15.275,1500.426,CJ,ANA_002,Caulolatilus,princeps,CPRI,1,AD,Passing,2019-08-30T00:00:00Z,1,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.01966,-119.37472,1899-12-31T09:47:00Z,30.3,soft,low,low,Anacapa,Anacapa MPA,fish,Ocean Whitefish,Caulolatilus princeps,Animalia,Chordata,Actinopterygii,Perciformes,Malacanthidae,Tilefish,benthic micro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,278535,WoRMS,3.04e-6,3.22,g,mm,TL,NA,NA,NA,NA,NSL,NA,Warm,High,benthopelagic (near the bottom),mobile (>1000m),soft,267.948,200.08,0.4411,0.20008
ANA_002_LEFT_SEG1.MP4,17.225,1,313.912,33.593,3479.823,CJ,ANA_002,Caulolatilus,princeps,CPRI,1,AD,Passing,2019-08-30T00:00:00Z,1,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.01966,-119.37472,1899-12-31T09:47:00Z,30.3,soft,low,low,Anacapa,Anacapa MPA,fish,Ocean Whitefish,Caulolatilus princeps,Animalia,Chordata,Actinopterygii,Perciformes,Malacanthidae,Tilefish,benthic micro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,278535,WoRMS,3.04e-6,3.22,g,mm,TL,NA,NA,NA,NA,NSL,NA,Warm,High,benthopelagic (near the bottom),mobile (>1000m),soft,313.912,333.12,0.7344,0.33312
