drop_id,bm_AHOL,bm_COTSP,bm_CPRI,bm_CPUN,bm_CSOR,bm_CVEN,bm_EJAC,bm_GGAL,bm_HARG,bm_HRUB,bm_HSEM,bm_LDAL,bm_LHIR,bm_OCAL,bm_OELO,bm_OPIC,bm_OYT,bm_PATR,bm_PCAL,bm_PCLA,bm_PCOE,bm_PFUR,bm_PMAC,bm_RNIC,bm_RONSP,bm_RTOX,bm_RVAC,bm_SATR,bm_SAUR,bm_SCAR,bm_SCAU,bm_SCHR,bm_SENT,bm_SGIG,bm_SGUT,bm_SHOP,bm_SLAL,bm_SLUC,bm_SMAR,bm_SMIN,bm_SMYS,bm_SPAU,bm_SPIN,bm_SPUL,bm_SRAS,bm_SROS,bm_SRUB,bm_SSAG,bm_SSAX,bm_SSEM,bm_STRE,bm_SUMB,bm_TSYM,date,rig,usefulness,island,general_area,mpa_status,reserve_name,lat,long,time_in,depth,habitat,rugosity,relief,site,island_mpa
ANA_034,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,2019-12-13T00:00:00Z,11,1,Anacapa,Front Side,MPA,ANA_SMCA,34.01849,-119.43533,1899-12-31T10:51:00Z,36.2,soft,low,low,Anacapa,Anacapa MPA
ANA_035,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,2019-12-13T00:00:00Z,3,1,Anacapa,Front Side,MPA,ANA_SMCA,34.01971,-119.4281,1899-12-31T11:04:00Z,48.7,soft,low,low,Anacapa,Anacapa MPA
ANA_036,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2019-12-13T00:00:00Z,1,1,Anacapa,Front Side,MPA,ANA_SMCA,34.01252,-119.41402,1899-12-31T11:21:00Z,32.4,soft,low,low,Anacapa,Anacapa MPA
ANA_037,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,2019-12-13T00:00:00Z,3,1,Anacapa,Back Side,REF,ANA_REF,34.00567,-119.43797000000001,1899-12-31T11:57:00Z,37,hard,high,high,Anacapa,Anacapa REF
ANA_040,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,2019-12-13T00:00:00Z,11,1,Anacapa,Back Side,REF,ANA_REF,33.99599,-119.41642,1899-12-31T13:30:00Z,44.9,mixed_soft,medium,low,Anacapa,Anacapa REF
ANA_041,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,2019-12-13T00:00:00Z,1,1,Anacapa,Back Side,REF,ANA_REF,33.99586,-119.40648,1899-12-31T13:38:00Z,40.3,mixed_soft,medium,low,Anacapa,Anacapa REF
ANA_042,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,2019-12-20T00:00:00Z,3,1,Anacapa,Front Side,MPA,ANA_SMCA,34.02748,-119.42416,1899-12-31T10:14:00Z,77.6,mixed_soft,low,low,Anacapa,Anacapa MPA
ANA_043,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2019-12-20T00:00:00Z,1,1,Anacapa,Front Side,MPA,ANA_SMCA,34.02478,-119.42346,1899-12-31T10:31:00Z,73.9,soft,low,low,Anacapa,Anacapa MPA
ANA_044,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2019-12-20T00:00:00Z,11,1,Anacapa,Front Side,MPA,ANA_SMCA,34.02845,-119.43324,1899-12-31T10:49:00Z,79.1,soft,low,low,Anacapa,Anacapa MPA
ANA_045,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2019-12-20T00:00:00Z,11,1,Anacapa,Back Side,REF,ANA_REF,33.9891,-119.43559,1899-12-31T11:49:00Z,82.4,soft,low,low,Anacapa,Anacapa REF
ANA_046,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,2019-12-20T00:00:00Z,1,1,Anacapa,Back Side,REF,ANA_REF,33.98889,-119.42188,1899-12-31T12:03:00Z,77.2,mixed_soft,low,low,Anacapa,Anacapa REF
ANA_047,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2019-12-20T00:00:00Z,3,2,Anacapa,Back Side,REF,ANA_REF,33.99009,-119.40853,1899-12-31T12:12:00Z,81.5,soft,low,low,Anacapa,Anacapa REF
ANA_048,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,2019-12-20T00:00:00Z,3,2,Anacapa,Back Side,REF,ANA_REF,33.99268,-119.39081,1899-12-31T13:21:00Z,72.8,mixed_hard,high,high,Anacapa,Anacapa REF
ANA_050,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,2019-12-20T00:00:00Z,11,1,Anacapa,Back Side,REF,ANA_REF,33.99219,-119.37627,1899-12-31T13:45:00Z,83.6,mixed_soft,medium,low,Anacapa,Anacapa REF
ANA_051,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,2019-12-20T00:00:00Z,11,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.02933,-119.36946,1899-12-31T14:47:00Z,76.4,mixed_soft,medium,low,Anacapa,Anacapa MPA
ANA_052,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,2019-12-20T00:00:00Z,1,2,Anacapa,Front Side,MPA,ANA_NEW_RESERVE,34.02707,-119.38035,1899-12-31T14:59:00Z,76.5,soft,low,low,Anacapa,Anacapa MPA
ANA_054,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2020-05-28T00:00:00Z,3,2,Anacapa,Back Side,REF,ANA_REF,33.998106,-119.441272,1899-12-31T09:41:00Z,54.4,mixed_soft,low,low,Anacapa,Anacapa REF
ANA_056,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,2020-05-28T00:00:00Z,11,1,Anacapa,Back Side,REF,ANA_REF,33.997656,-119.41779,1899-12-31T10:11:00Z,37.9,soft,low,low,Anacapa,Anacapa REF
ANA_057,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,2020-05-28T00:00:00Z,11,1,Anacapa,Back Side,REF,ANA_REF,33.996155,-119.411435,1899-12-31T11:10:00Z,42.3,soft,low,low,Anacapa,Anacapa REF
ANA_058,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,2020-05-28T00:00:00Z,1,1,Anacapa,Back Side,REF,ANA_REF,33.999331,-119.38717,1899-12-31T11:28:00Z,48.1,mixed_soft,low,low,Anacapa,Anacapa REF
ANA_059,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,2020-05-28T00:00:00Z,3,1,Anacapa,Back Side,REF,ANA_REF,33.994796,-119.39842,1899-12-31T11:40:00Z,55.9,soft,low,low,Anacapa,Anacapa REF
