drop_id,pisco_code,biomass_kg
ANA_051,bm_COTSP,125
ANA_052,bm_COTSP,24
ANA_054,bm_COTSP,6
ANA_056,bm_COTSP,36
ANA_057,bm_COTSP,78
ANA_058,bm_COTSP,34
ANA_059,bm_COTSP,150
ANA_060,bm_COTSP,76
ANA_061,bm_COTSP,1
ANA_067,bm_COTSP,32
ANA_068,bm_COTSP,150
ANA_070,bm_COTSP,96
ANA_071,bm_COTSP,88
ANA_072,bm_COTSP,30
ANA_073,bm_COTSP,144
ANA_074,bm_COTSP,405
ANA_077,bm_COTSP,68
ANA_078,bm_COTSP,20
ANA_079,bm_COTSP,21
ANA_080,bm_COTSP,2
ANA_081,bm_COTSP,182
ANA_082,bm_COTSP,69
ANA_083,bm_COTSP,252
ANA_084,bm_COTSP,180
ANA_085,bm_COTSP,72
ANA_086,bm_COTSP,9
ANA_087,bm_COTSP,85
ANA_090,bm_COTSP,4
ANA_093,bm_COTSP,135
ANA_094,bm_COTSP,236
ANA_095,bm_COTSP,42
ANA_096,bm_COTSP,48
ANA_097,bm_COTSP,156
ANA_098,bm_COTSP,40
ANA_099,bm_COTSP,63
ANA_100,bm_COTSP,128
ANA_101,bm_COTSP,120
ANA_102,bm_COTSP,3
ANA_103,bm_COTSP,2
ANA_104,bm_COTSP,20
ANA_109,bm_COTSP,2
ANA_110,bm_COTSP,57
ANA_112,bm_COTSP,282
ANA_114,bm_COTSP,176
ANA_116,bm_COTSP,12
ANA_117,bm_COTSP,1
ANA_118,bm_COTSP,26
ANA_119,bm_COTSP,32
ANA_120,bm_COTSP,49
ANA_121,bm_COTSP,7
ANA_122,bm_COTSP,1
ANA_123,bm_COTSP,12
ANA_125,bm_COTSP,90
ANA_126,bm_COTSP,6
ANA_127,bm_COTSP,12
ANA_128,bm_COTSP,4
ANA_130,bm_COTSP,174
ANA_131,bm_COTSP,120
ANA_132,bm_COTSP,174
ANA_133,bm_COTSP,45
ANA_134,bm_COTSP,261
ANA_135,bm_COTSP,42
ANA_136,bm_COTSP,18
ANA_137,bm_COTSP,6
ANA_140,bm_COTSP,25
ANA_144,bm_COTSP,30
ANA_145,bm_COTSP,48
ANA_146,bm_COTSP,120
ANA_147,bm_COTSP,24
ANA_148,bm_COTSP,190
ANA_149,bm_COTSP,88
ANA_150,bm_COTSP,140
ANA_151,bm_COTSP,30
ANA_152,bm_COTSP,54
ANA_154,bm_COTSP,312
ANA_156,bm_COTSP,225
ANA_157,bm_COTSP,96
ANA_159,bm_COTSP,5
ANA_160,bm_COTSP,189
ANA_161,bm_COTSP,240
ANA_162,bm_COTSP,12
ANA_163,bm_COTSP,60
ANA_164,bm_COTSP,135
ANA_165,bm_COTSP,126
ANA_167,bm_COTSP,24
ANA_168,bm_COTSP,30
ANA_169,bm_COTSP,366
ANA_173,bm_COTSP,9
ANA_174,bm_COTSP,56
ANA_176,bm_COTSP,8
ANA_177,bm_COTSP,576
ANA_179,bm_COTSP,136
ANA_180,bm_COTSP,16
ANA_183,bm_COTSP,102
ANA_184,bm_COTSP,210
ANA_185,bm_COTSP,6
ANA_186,bm_COTSP,72
ANA_187,bm_COTSP,44
ANA_188,bm_COTSP,168
ANA_189,bm_COTSP,182
ANA_190,bm_COTSP,39
ANA_191,bm_COTSP,48
ANA_192,bm_COTSP,36
ANA_193,bm_COTSP,245
ANA_194,bm_COTSP,9
ANA_195,bm_COTSP,55
ANA_196,bm_COTSP,75
ANA_201,bm_COTSP,44
ANA_204,bm_COTSP,6
ANA_205,bm_COTSP,210
ANA_206,bm_COTSP,88
ANA_207,bm_COTSP,66
ANA_208,bm_COTSP,150
ANA_209,bm_COTSP,110
ANA_210,bm_COTSP,120
ANA_213,bm_COTSP,24
ANA_214,bm_COTSP,175
ANA_215,bm_COTSP,40
ANA_217,bm_COTSP,27
ANA_218,bm_COTSP,240
ANA_219,bm_COTSP,256
ANA_220,bm_COTSP,10
ANA_221,bm_COTSP,100
ANA_222,bm_COTSP,42
ANA_223,bm_COTSP,3
ANA_225,bm_COTSP,95
ANA_226,bm_COTSP,168
ANA_227,bm_COTSP,98
ANA_228,bm_COTSP,52
ANA_230,bm_COTSP,14
ANA_231,bm_COTSP,60
ANA_232,bm_COTSP,8
ANA_234,bm_COTSP,72
ANA_235,bm_COTSP,21
ANA_236,bm_COTSP,272
ANA_237,bm_COTSP,1170
ANA_238,bm_COTSP,203
ANA_239,bm_COTSP,13
ANA_240,bm_COTSP,216
ANA_242,bm_COTSP,190
ANA_243,bm_COTSP,104
ANA_244,bm_COTSP,260
ANA_245,bm_COTSP,63
ANA_246,bm_COTSP,210
ANA_247,bm_COTSP,40
ANA_248,bm_COTSP,408
ANA_250,bm_COTSP,12
ANA_251,bm_COTSP,36
ANA_252,bm_COTSP,26
ANA_253,bm_COTSP,282
ANA_254,bm_COTSP,28
ANA_255,bm_COTSP,78
ANA_256,bm_COTSP,45
ANA_258,bm_COTSP,85
ANA_259,bm_COTSP,55
ANA_260,bm_COTSP,384
ANA_261,bm_COTSP,20
ANA_262,bm_COTSP,12
ANA_264,bm_COTSP,20
ANA_265,bm_COTSP,40
ANA_266,bm_COTSP,414
ANA_267,bm_COTSP,42
ANA_270,bm_COTSP,160
ANA_271,bm_COTSP,598
CAR_001,bm_COTSP,68
CAR_002,bm_COTSP,40
CAR_003,bm_COTSP,462
CAR_004,bm_COTSP,14
CAR_005,bm_COTSP,28
CAR_009,bm_COTSP,536
CAR_010,bm_COTSP,4
CAR_011,bm_COTSP,48
CAR_012,bm_COTSP,4
CAR_014,bm_COTSP,9
CAR_015,bm_COTSP,190
CAR_016,bm_COTSP,160
CAR_017,bm_COTSP,86
CAR_019,bm_COTSP,144
CAR_020,bm_COTSP,450
CAR_021,bm_COTSP,48
CAR_024,bm_COTSP,343
CAR_025,bm_COTSP,174
CAR_026,bm_COTSP,1185
CAR_028,bm_COTSP,784
CAR_029,bm_COTSP,108
CAR_031,bm_COTSP,33
CAR_033,bm_COTSP,5
CAR_034,bm_COTSP,224
CAR_036,bm_COTSP,266
CAR_037,bm_COTSP,189
CAR_042,bm_COTSP,429
CAR_043,bm_COTSP,78
CAR_044,bm_COTSP,3
CAR_045,bm_COTSP,225
CAR_046,bm_COTSP,40
CAR_049,bm_COTSP,42
CAR_050,bm_COTSP,168
CAR_051,bm_COTSP,84
CAR_052,bm_COTSP,56
CAR_055,bm_COTSP,12
CAR_057,bm_COTSP,243
CAR_058,bm_COTSP,30
CAR_059,bm_COTSP,39
CAR_060,bm_COTSP,78
CAR_061,bm_COTSP,51
CAR_062,bm_COTSP,8
CAR_065,bm_COTSP,90
CAR_066,bm_COTSP,40
CAR_067,bm_COTSP,207
CAR_068,bm_COTSP,9
CAR_069,bm_COTSP,225
CAR_071,bm_COTSP,85
CAR_072,bm_COTSP,14
CAR_073,bm_COTSP,40
CAR_074,bm_COTSP,5
CAR_075,bm_COTSP,25
CAR_076,bm_COTSP,65
CAR_077,bm_COTSP,4
CAR_078,bm_COTSP,105
CAR_079,bm_COTSP,25
CAR_080,bm_COTSP,5
CAR_081,bm_COTSP,50
CAR_082,bm_COTSP,30
CAR_083,bm_COTSP,15
CAR_084,bm_COTSP,18
CAR_085,bm_COTSP,25
CAR_086,bm_COTSP,2
CAR_088,bm_COTSP,14
CAR_089,bm_COTSP,8
CAR_092,bm_COTSP,105
CAR_096,bm_COTSP,117
CAR_097,bm_COTSP,26
CAR_099,bm_COTSP,24
CAR_100,bm_COTSP,5
CAR_101,bm_COTSP,341
CAR_102,bm_COTSP,430
CAR_103,bm_COTSP,170
CAR_104,bm_COTSP,85
CAR_105,bm_COTSP,98
CAR_106,bm_COTSP,715
CAR_107,bm_COTSP,12
CAR_108,bm_COTSP,287
CAR_109,bm_COTSP,583
CAR_110,bm_COTSP,220
CAR_113,bm_COTSP,455
CAR_114,bm_COTSP,51
CAR_115,bm_COTSP,168
CAR_116,bm_COTSP,36
CAR_117,bm_COTSP,12
CAR_118,bm_COTSP,250
CAR_121,bm_COTSP,153
CAR_122,bm_COTSP,54
CAR_123,bm_COTSP,16
CAR_124,bm_COTSP,15
CAR_125,bm_COTSP,360
CAR_126,bm_COTSP,78
CAR_127,bm_COTSP,558
CAR_128,bm_COTSP,225
CAR_129,bm_COTSP,126
CAR_130,bm_COTSP,6
CAR_131,bm_COTSP,141
CAR_132,bm_COTSP,374
CAR_133,bm_COTSP,54
CAR_202,bm_COTSP,77
CAR_203,bm_COTSP,264
CAR_205,bm_COTSP,144
CAR_206,bm_COTSP,136
CAR_207,bm_COTSP,12
CAR_208,bm_COTSP,196
CAR_210,bm_COTSP,21
CAR_211,bm_COTSP,112
CAR_212,bm_COTSP,24
CAR_213,bm_COTSP,240
CAR_214,bm_COTSP,99
CAR_215,bm_COTSP,4
CAR_216,bm_COTSP,8
CAR_217,bm_COTSP,84
CAR_218,bm_COTSP,42
CAR_219,bm_COTSP,248
CAR_220,bm_COTSP,119
CAR_221,bm_COTSP,154
CAR_222,bm_COTSP,72
CAR_223,bm_COTSP,36
CAR_224,bm_COTSP,954
CAR_225,bm_COTSP,182
CAR_226,bm_COTSP,32
CAR_227,bm_COTSP,68
CAR_228,bm_COTSP,9
CAR_230,bm_COTSP,240
CAR_231,bm_COTSP,20
CAR_232,bm_COTSP,45
CAR_233,bm_COTSP,28
CAR_234,bm_COTSP,176
CAR_237,bm_COTSP,42
CAR_238,bm_COTSP,120
CAR_240,bm_COTSP,250
CAR_241,bm_COTSP,350
CAR_242,bm_COTSP,180
CAR_243,bm_COTSP,162
CAR_244,bm_COTSP,480
CAR_245,bm_COTSP,152
CAR_246,bm_COTSP,190
CAR_248,bm_COTSP,42
CAR_249,bm_COTSP,136
CAR_250,bm_COTSP,2
CAR_251,bm_COTSP,416
CAR_252,bm_COTSP,310
CAR_254,bm_COTSP,32
CAR_255,bm_COTSP,84
CAR_256,bm_COTSP,500
CAR_257,bm_COTSP,9
CAR_258,bm_COTSP,154
CAR_259,bm_COTSP,68
CAR_260,bm_COTSP,40
CAR_262,bm_COTSP,1298
CAR_263,bm_COTSP,77
CAR_264,bm_COTSP,6
CAR_265,bm_COTSP,320
CAR_266,bm_COTSP,152
CAR_267,bm_COTSP,420
CAR_269,bm_COTSP,35
CAR_271,bm_COTSP,684
CAR_272,bm_COTSP,189
CAR_273,bm_COTSP,275
CAR_274,bm_COTSP,286
CAR_275,bm_COTSP,12
CAR_276,bm_COTSP,152
ANA_001,bm_CPRI,80
ANA_002,bm_CPRI,88
ANA_003,bm_CPRI,259
ANA_004,bm_CPRI,75
ANA_005,bm_CPRI,26
ANA_006,bm_CPRI,8
ANA_007,bm_CPRI,30
ANA_009,bm_CPRI,12
ANA_011,bm_CPRI,4
ANA_013,bm_CPRI,84
ANA_015,bm_CPRI,24
ANA_018,bm_CPRI,7
ANA_019,bm_CPRI,11
ANA_020,bm_CPRI,176
ANA_022,bm_CPRI,1
ANA_023,bm_CPRI,3
ANA_024,bm_CPRI,40
ANA_025,bm_CPRI,64
ANA_026,bm_CPRI,45
ANA_027,bm_CPRI,140
ANA_029,bm_CPRI,3
